Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","2010","2010","kg/ha","612.5","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","2011","2011","kg/ha","603.5","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","2012","2012","kg/ha","587.3","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","2013","2013","kg/ha","575.6","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","2014","2014","kg/ha","583.1","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","2015","2015","kg/ha","530.4","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","2016","2016","kg/ha","559.7","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","2017","2017","kg/ha","573.7","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","2018","2018","kg/ha","571.7","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","2019","2019","kg/ha","579.8","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","2020","2020","kg/ha","563.2","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","2021","2021","kg/ha","557.5","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","2022","2022","kg/ha","552.4","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","2023","2023","kg/ha","547.3","E","Estimated value",""
